 ,Area,Mean,Min,Max,Angle,Length
1,75,188.544,136.571,216.886,-78.232,73.546
2,83,183.715,124.44,220.346,-82.962,81.615
3,75,185.507,113.387,203.936,-82.2,73.682
4,56,183.655,80,211,0,55
5,53,178.979,36.333,199.936,3.302,52.086
6,62,185.33,124.863,207.842,1.878,61.033
7,64,182.499,93,207.619,0.909,63.008
8,78,176.227,1,209.097,137.626,77.156
9,69,192.666,131.126,207.164,-129.053,68.25
10,75,184.175,113.949,220.667,-69.353,73.736
11,76,167.765,6.74,199.485,-78.389,74.525
12,83,180.702,123.903,205.44,-57.475,81.835
13,63,182.319,79.14,208.543,2.77,62.073
14,98,172.206,0.333,220.975,-77.535,97.293
15,67,172.987,1.333,205.04,-179.132,66.008
16,99,178.505,1.333,211.333,-90,98
17,82,183.472,77.667,211.667,-90,81
18,103,168.927,3,222.706,-86.074,102.24
19,96,172.439,1.333,228.154,-85.186,95.336
20,60,184.058,120.785,207.429,-177.089,59.076
