 ,Area,Mean,Min,Max,Angle,Length
1,73,102.375,2.333,168,-114.444,72.498
2,71,116.212,4.645,174.58,-109.213,69.893
3,71,109.861,4.636,161.645,-111.038,69.642
4,71,124.349,1.667,184.556,-123.917,69.893
5,75,104.353,4.595,152.667,-108.189,73.682
6,73,107.355,1.667,152.772,-122.593,72.402
7,83,106.194,1.615,159.275,-97.038,81.615
8,76,110.223,3.037,175,-141.459,75.432
9,78,79.346,0.978,172,-95.932,77.414
10,74,110.595,0.333,167.243,-141.096,73.246
11,55,110.518,2,175.753,-95.29,54.231
12,77,98.152,2.835,189.669,-110.821,75.961
13,92,89.024,0,164.222,-125.611,91.022
14,66,116.447,1,164.898,-128.108,64.815
15,67,105.405,61.667,177.04,-105.945,65.521
16,67,105.405,61.667,177.04,-105.945,65.521
17,82,92.579,0.333,152.111,-123.887,80.709
18,66,106.681,27.8,186.349,-90.881,65.008
19,123,120.604,49,179.667,180,122
20,80,106.553,1.491,165.667,-81.973,78.772
