 ,Area,Mean,Min,Max,Angle,Length
1,58,134.967,72.009,191,-68.385,57.009
2,54,120.593,20.849,204.1,-47.291,53.075
3,72,85.061,6.351,174.113,-98.931,70.859
4,60,107.851,5,199.259,-70.346,59.464
5,58,96.321,3.333,173.288,-15.255,57.009
6,60,120.358,22.667,193.411,-80.218,58.856
7,50,111.921,29.917,183.825,-59.237,48.877
8,71,111.628,1.202,200.336,-70.787,69.893
9,13,2.066,0.194,3.667,-120.964,11.662
10,59,106.533,27.231,172.588,-37.266,57.801
11,64,134.337,5.333,193.23,-61.39,62.65
12,71,105.406,1.443,187.318,-67.443,70.385
13,84,94.191,0.314,193.004,-60.341,82.855
14,69,109.809,0.863,184.979,-71.03,67.676
15,53,114.339,33,188.192,-45.785,51.624
16,57,116.589,65.354,189,-68.009,56.08
17,58,127.459,72.615,198.417,-59.381,56.939
18,65,104.495,0.316,172.348,-62.241,64.413
19,62,126.672,10,184.903,-59.199,60.539
20,68,111.247,1,198.808,-76.171,66.94
