 ,Area,Mean,Min,Max,Angle,Length,,
1,56,116.891,65.915,198.976,-96.226,55.326,0.58746281,0.53
2,60,112.033,32,152.238,-97.853,58.549,0.735906935,0.73
3,80,115.908,3.932,205,-95.782,79.404,0.565404878,0.56
4,66,113.658,52.687,176.2,-83.853,65.376,0.645051078,0.64
5,59,106.603,35.839,177.345,-86.055,58.138,0.60110519,0.6
6,61,125.271,57.808,197,49.708,60.308,0.635893401,0.63
7,61,114.588,55.389,175.333,91.909,60.033,0.653544969,0.62
8,64,96.556,2.915,148.984,88.182,63.032,0.64809644,0.64
9,65,104.753,9.667,156.375,94.467,64.195,0.669883293,0.66
10,60,128.355,53.016,172.05,69.102,58.873,0.74603313,0.74
11,69,107.068,7.377,189.352,-107.904,68.308,0.565444252,0.56
12,68,111.522,35.069,164.38,-115.796,66.641,0.6784402,0.67
13,63,111.716,15.916,166.859,101.129,62.169,0.66952337,0.66
14,77,123.313,11.873,192.667,98.344,75.802,0.640031765,0.64
15,60,104.733,5.333,156.333,88.059,59.034,0.66993533,0.66
16,41,149.977,52.083,185.533,91.432,40.012,0.808357543,0.8
17,62,122.016,50.333,182,-90,61,0.670417582,0.67
18,73,116.787,4.333,191.667,-96.34,72.443,0.609322419,0.6
19,69,113.782,24.667,181.912,87.474,68.066,0.625478253,0.62
20,48,109.402,56.333,205.092,-93.652,47.096,0.5334289,0.53
