 ,Area,Mean,Min,Max,Angle,Length,,
1,63,126.461,61.613,193.72,-89.076,62.008,0.652803015,0.65
2,66,109.868,20,189,-95.274,65.276,0.581312169,0.58
3,55,90.152,7.333,217.667,-90,54,0.414173945,0.41
4,53,106.478,2.814,195.038,-91.102,52.01,0.545934638,0.54
5,67,103.428,13.939,218.667,-86.532,66.121,0.472993181,0.47
6,64,123.384,4.704,195.503,-93.633,63.127,0.63111052,0.63
7,67,111.488,10.374,207.152,-90.868,66.008,0.538194176,0.53
8,52,120.994,51.19,208.242,-92.246,51.039,0.581025922,0.58
9,49,115.514,5.5,216.333,-93.576,48.094,0.533963843,0.53
10,49,122.52,16.028,196.417,-94.764,48.166,0.623774928,0.62
11,43,87.778,0.607,150.401,56.689,41.881,0.583626439,0.58
12,35,121.331,55,149.058,-110.556,34.176,0.81398516,0.81
13,35,121.331,55,149.058,-110.556,34.176,0.81398516,0.81
14,39,117.765,76.263,137.509,-119.932,38.079,0.856416671,0.85
15,50,91.958,0,229,-98.13,49.497,0.401563319,0.4
16,56,110.305,1.333,180.603,-118.443,54.589,0.610759511,0.61
17,39,86.165,8.298,128.679,57.995,37.736,0.66961198,0.66
18,49,105.938,82,132.208,-104.621,47.539,0.801297955,0.8
19,30,117.395,83,135.12,-110.323,28.792,0.868820308,0.86
20,42,102.265,1.49,140.876,-126.027,40.804,0.725922088,0.72
21,42,102.265,1.49,140.876,-126.027,40.804,,
22,64,128.349,20.27,200.19,1.818,63.032,,
23,62,111.018,12.852,183.874,-4.686,61.205,,
24,54,116.787,6.937,202.799,-4.316,53.151,,
25,54,129.259,57.656,196,-10.886,52.953,,
26,70,114.675,4.643,200.123,-22.109,69.08,,
27,57,126.708,34,198.476,-3.066,56.08,,
28,49,124.845,24.847,202.384,8.471,47.518,,
29,45,118.951,63.545,207.712,-6.483,44.283,,
30,65,131.697,12.5,203.083,1.79,64.031,,
31,64,128.35,21.715,194.143,-7.352,62.514,,
32,51,107.843,57.313,151.592,-28.61,50.12,,
33,45,91.887,41.587,120.833,-15.945,43.681,,
34,51,103.785,47.539,146.683,-23.499,50.16,,
35,85,99.922,20.188,182.186,-10.244,84.345,,
36,75,98.117,15.347,135.684,-10.098,74.148,,
37,76,97.844,29.869,147.681,-14.589,75.432,,
38,62,95.584,45.524,136.447,-28.237,61.294,,
39,87,100.301,17,159.159,-16.128,86.4,,
40,59,111.45,81.161,148.266,-24.362,58.181,,
41,48,122.147,19.255,161.333,-97.275,47.381,,
42,60,93.679,15.808,153.055,-106.607,59.481,,
43,49,94.486,13.521,166.938,-119.745,48.374,,
44,53,85.024,5.009,226.667,-103.241,52.393,,
45,70,91.303,52.537,183.314,-113.199,68.542,,
46,43,88.57,24.484,153.435,-114.102,41.629,,
47,49,95.567,48.997,137.901,-116.03,47.854,,
48,47,90.057,10.595,146,-114.341,46.098,,
49,59,93.991,5.333,140.686,-109.058,58.189,,
50,54,109.489,38.647,166.88,-104.3,52.631,,
51,145,129.642,32.75,205.278,-4.764,144.499,,
52,48,85.552,5.333,174.965,-94.865,47.17,,
53,51,92.106,27.495,154.413,-107.354,50.289,,
54,51,92.106,27.495,154.413,-107.354,50.289,,
55,67,123.298,2.611,178.667,59.184,66.37,,
56,60,110.519,84.541,150.824,-119.624,58.669,,
57,41,108.707,85.363,143.957,-110.225,40.497,,
58,47,83.172,16.756,141.314,-117.121,46.065,,
59,46,115.263,62.189,146.122,-129.644,45.453,,
60,39,99.057,25.296,229.667,70.145,38.275,,
