 ,Area,Mean,Min,Max,Angle,Length
1,65,138.857,63.333,189.698,-133.727,63.655
2,86,127.874,56.959,204.379,-138.814,85.041
3,67,163.999,116,214.333,-133.781,66.483
4,80,123.704,60.452,170.912,-137.579,78.568
5,89,128.277,41.624,215.511,-124.408,88.482
6,73,121.238,56.833,180.333,-131.634,72.25
7,78,134.116,14,219.883,-111.251,77.253
8,80,123.764,49.725,192.922,-133.452,78.518
9,81,118.045,46.995,188.96,-124.875,80.449
10,63,122.701,78.033,156.387,-132.397,62.29
11,89,124.925,10.667,211.786,-155.179,88.142
12,69,125.161,90.002,174.519,17.103,68.007
13,80,146.662,39.595,223.004,-90.725,79.006
14,78,127.957,2.333,197.667,-164.876,76.655
15,70,135.808,68.617,223.268,-98.366,68.731
16,95,136.084,76.078,224.113,-127.235,94.202
17,62,182.137,93.608,218.744,-123.69,61.294
18,80,160.31,1,222.138,-122.082,79.076
19,65,171.899,12.333,220.667,-118.968,64.008
20,94,129.192,4.548,225.4,-122.33,93.493
21,94,129.192,4.548,225.4,-122.33,93.493
22,42,144.543,35.702,203.667,-108.435,41.11
23,63,123.79,6.44E-13,190.71,-114.905,61.741
24,72,121.978,1.333,177.437,-108.178,70.52
25,64,139.013,5,185.308,-113.318,63.159
26,60,144.949,4.667,210.783,-106.607,59.481
27,69,145.262,21.525,221.84,-109.767,68.007
28,74,125.29,0.736,229.106,-111.656,73.164
29,78,132.855,1.364,226.357,-106.557,77.201
30,68,132.265,3.408,220.798,-106.535,66.761
31,78,105.03,0.351,206.479,-109.604,77.492
32,58,155.748,2.333,221.545,-112.543,57.385
33,51,128.496,5.333,224.808,-116.053,50.09
34,81,135.242,0.333,221.8,-95.711,80.399
35,78,122.332,1.312,223.186,-86.285,77.162
36,69,146.971,2.333,227.167,-150.046,68.096
37,63,135.663,4.871,231.501,-103.134,61.612
38,73,108.71,7.333,218.583,-101.155,72.367
39,96,142.292,93.479,211.712,19.006,95.189
40,70,148.897,19.83,223.667,-62.319,68.884
41,19,114.651,2,174.815,-93.18,18.028
42,16,144.022,3.333,195.427,-126.87,15
43,19,132.049,3.333,194.226,-163.61,17.72
44,21,132.805,39.667,196.667,165.256,19.647
45,14,129.472,5.667,164.856,153.435,13.416
46,12,130.053,113.212,147.091,105.255,11.402
47,14,131.346,86.051,164.615,-81.254,13.153
48,19,155.624,104,202.389,-93.18,18.028
49,17,141.199,93,184.708,-97.125,16.125
50,11,171.602,138.92,222.667,66.038,9.849
51,22,161.156,128.667,208.667,-115.346,21.024
52,35,131.835,10.667,229.333,-114.305,34.015
53,20,169.227,146.946,198.771,164.476,18.682
54,30,99.111,3,130.667,63.435,29.069
55,37,86.055,3.333,126.333,41.634,36.125
56,27,96.002,77.333,131.864,49.635,26.249
57,38,89.405,1,142.391,49.399,36.878
58,35,94.477,73.783,126.149,-100.305,33.541
59,21,94.732,0,136.867,-5.711,20.1
60,32,100.126,56.333,130.634,3.691,31.064
