 ,Area,Mean,Min,Max,Angle,Length,,
1,29,185.011,153.512,213.167,6.116,28.16,,
2,47,179.112,142.553,191.065,10.081,45.706,0.867915766,0.84
3,52,185.99,165,203.85,11.31,50.99,0.937440138,0.93
4,64,173.146,5,200.963,9.162,62.801,0.912386559,0.91
5,47,179.797,142,194.362,23.199,45.695,0.861581485,0.85
6,57,181.694,104.771,200.065,13.536,55.543,0.925062512,0.92
7,45,185.291,172.667,193.788,9.246,43.566,0.908174843,0.9
8,50,186.751,156,204.062,10.62,48.836,0.956153116,0.95
9,45,187.02,170.667,208.333,11.821,43.932,0.915167939,0.91
10,62,180.934,136.464,199.506,14.265,60.877,0.897697436,0.89
11,46,178.42,129.667,193.55,9.039,44.553,0.906910068,0.8
12,59,182.436,133.333,201.608,17.176,57.567,0.921828985,0.92
13,60,190.946,150.667,216.277,16.887,58.523,0.904904567,0.92
14,46,185.608,154,206.052,-16.821,44.922,0.882877051,0.88
15,62,181.288,107.333,207.021,-7.595,60.531,0.900782327,0.9
16,59,179.415,4.667,217.97,-8.973,57.706,0.875698601,0.91
17,55,180.758,122,202.667,0,54,0.82311786,0.82
18,62,184.177,3.333,218.614,28.237,61.294,0.891896559,0.89
19,48,193.846,170.7,210.093,19.983,46.819,0.842475779,0.82
20,35,194.633,175.731,208.171,16.858,34.482,0.922667581,0.92
21,27,172.757,158,180.58,110.556,25.632,0.934966926,0.93
22,39,178.454,134.333,212.84,108.435,37.947,,
23,42,175.506,7,203.566,109.747,41.437,,
24,43,170.949,1.986,213.635,116.565,42.485,,
25,40,185.906,160,216.722,113.962,39.395,,
26,34,190.026,164.333,208.777,115.017,33.106,,
27,38,187.22,168.258,214.468,104.036,37.108,,
28,36,172.02,3.333,203.448,109.983,35.114,,
29,33,190.818,166.945,206.99,118.179,31.765,,
30,37,179.784,164.333,224.667,138.366,36.125,,
31,42,189.994,170.805,204.798,-41.055,41.11,,
32,39,178.555,37.333,214.667,-60.068,38.079,,
33,42,188.225,162.333,213.667,124.077,41.049,,
34,28,185.526,162.333,198.444,135,26.87,,
35,39,185.581,161,209.983,-45,38.184,,
36,47,183.325,151.136,216.214,-26.003,45.618,,
37,48,187.552,164.667,212.262,-19.983,46.819,,
38,68,172.584,0.963,217.568,-23.875,66.708,,
39,54,183.573,136,215.164,-14.3,52.631,,
40,51,198.428,186.333,225.333,-58.841,50.249,,
41,36,62.009,52.687,71.333,14.826,35.171,,
42,41,59.621,48.358,76.333,25.278,39.812,,
43,71,107.62,49.347,255,19.983,70.228,,
44,60,98.694,47.594,255,10.739,59.034,,
45,56,90.053,52.667,255,9.462,54.745,,
46,61,89.261,42.753,255,9.62,59.841,,
47,53,77.213,26.667,252.667,11.094,51.971,,
48,60,92.451,35.536,254.718,8.82,58.694,,
49,54,106.768,46.61,255,2.161,53.038,,
50,65,86.683,29.542,255,1.79,64.031,,
51,63,106.744,42.29,255,-1.848,62.032,,
52,64,98.407,41.524,255,5.44,63.285,,
53,45,86.831,59.182,254.667,2.603,44.045,,
54,54,87.44,40.333,254.686,-3.24,53.085,,
55,70,83.74,39.406,255,6.613,69.462,,
56,69,94.305,48.83,255,-29.219,67.602,,
57,71,74.755,47.72,106.667,47.891,70.093,,
58,71,95.061,47.498,255,29.134,69.836,,
59,69,85.005,35.717,255,25.067,68.447,,
60,57,88.115,50.031,255,12.308,56.294,,
