 ,Area,Mean,Min,Max,Angle,Length,,
1,37,135.878,102.746,205.675,15.945,36.401,0.66064422,0.66
2,57,124.069,83.207,210.596,10.305,55.902,0.589132747,0.56
3,75,123.687,66.162,224.667,3.865,74.169,0.550534791,0.55
4,86,127.625,30.549,219.322,2.694,85.094,0.581906968,0.58
5,80,130.45,65.523,222.034,-3.621,79.158,0.587522632,0.65
6,76,112.117,69.107,169.884,-1.528,75.027,0.659962092,0.42
7,80,116.205,61.869,220.667,-5.064,79.31,0.526607966,0.52
8,85,122.723,91.06,218.333,0.682,84.006,0.562090934,0.56
9,82,136.108,57.123,218.848,-1.414,81.025,0.621929376,0.63
10,76,143.445,57.947,213.04,4.574,75.24,0.673324258,0.67
11,81,141.27,29.933,218.05,-2.148,80.056,0.647878927,0.64
12,81,140,59.083,208.55,0.716,80.006,0.671301846,0.67
13,67,133.535,65.505,206.667,0.868,66.008,0.646136055,0.94
14,85,141.186,51.333,209.143,1.364,84.024,0.675069211,0.67
15,90,116.529,71.188,208.197,-9.673,89.269,0.559705471,0.55
16,87,135.731,1.55,206.841,-4.653,86.284,0.656209359,0.65
17,94,125.263,0.333,216.699,2.463,93.086,0.57805066,0.57
18,72,133.925,72.925,206.933,-17.928,71.47,0.647190153,0.64
19,89,119.357,61.864,219.652,-2.603,88.091,0.543391365,0.53
20,72,116.646,67.867,219.926,-18.178,70.52,0.530387494,0.54
21,65,130.093,1.473,205.667,-98.13,63.64,,
22,60,140.091,4.371,196.333,-105.68,59.203,,
23,57,124.394,1,189.44,-104.534,55.785,,
24,65,126.614,0.664,180.409,-98.13,63.64,,
25,73,125.953,0,215.537,-93.18,72.111,,
26,66,130.31,3.333,209.808,-71.288,65.46,,
27,67,123.24,0.521,195.604,-121.264,65.513,,
28,66,125.12,0.333,210.215,-82.983,65.49,,
29,69,104.562,0.667,151.433,-102.804,67.683,,
30,62,111.619,0.525,183.241,-101.31,61.188,,
31,79,106.376,0.972,198.54,-105.642,77.885,,
32,71,100.707,0.505,185.981,-85.101,70.257,,
33,68,112.544,0.861,228.667,-97.765,66.611,,
34,74,117.693,0.333,221.807,-97.907,72.691,,
35,77,96.446,0.333,205.333,-90,76,,
36,72,113.258,0,181.859,-124.136,71.281,,
37,56,131.281,6.333,201.184,74.197,55.082,,
38,57,140.426,0.333,188.333,64.799,56.365,,
39,68,115.587,8.43E-13,185.564,-121.551,66.888,,
40,72,115.822,0,191.454,-99.728,71.021,,
41,61,129.059,66.64,241.12,-126.87,60,,
42,47,131.817,97.052,232.779,-108.825,46.487,,
43,53,123.405,98.02,239.333,-105.642,51.923,,
44,59,143.097,85.575,254.9,-105.945,58.241,,
45,60,133.514,95.441,255,-106.607,59.481,,
46,59,141.679,103.08,254.333,-85.073,58.215,,
47,64,137.408,95.333,254,-127.954,63.411,,
48,58,140.483,100.18,254.429,-99.13,56.719,,
49,63,117.492,4,208.223,-102.031,62.37,,
50,63,108.222,1,207.333,-97.472,61.522,,
51,61,137.843,93.042,254.304,-101.497,60.208,,
52,63,134.276,99.621,253.667,-112.834,61.847,,
53,64,140.086,91.061,254.077,-100.954,63.151,,
54,68,139.852,94.445,250.69,-106.535,66.761,,
55,62,135.145,100.126,255,-96.546,61.4,,
56,57,130.325,92.857,212.161,-118.856,55.946,,
57,61,137.154,86.6,254.883,-83.346,60.407,,
58,60,133.251,80.219,254.333,-111.801,59.237,,
59,64,144.359,89.238,254.667,-94.538,63.198,,
60,67,141.391,100.657,254.401,-101.31,66.287,,
