 ,Area,Mean,Min,Max,Angle,Length,,
1,60,156.14,51.023,223.076,19.983,58.523,0.699940827,0.69
2,40,166.351,93.886,222.144,-30.466,39.446,0.748843093,0.78
3,52,158.019,73.953,222.4,-26.565,51.43,0.710517086,0.71
4,41,170.597,88.667,227,-29.745,40.311,0.751528634,0.75
5,7,140.804,113.667,206.667,-128.66,6.403,0.681308579,0.68
6,53,160.314,92.917,225.797,-31.535,51.624,0.709991718,0.7
7,53,160.447,44.209,222.167,-15.642,51.923,0.722190964,0.72
8,36,169.353,94.033,224.66,-22.109,34.54,0.753819104,0.75
9,38,183.892,74.667,238.11,-20.376,37.336,0.772298517,0.77
10,30,170.444,87.177,224.767,-17.819,29.411,0.758314165,0.75
11,28,89.399,2.667,142.333,-26.565,26.833,0.62809749,0.84
12,42,162.201,90.516,224.333,-11.31,40.792,0.723036736,0.72
13,44,182.399,66.706,226.853,-10.784,42.755,0.804040502,0.85
14,34,173.767,61.028,234.212,-28.887,33.121,0.741921849,0.74
15,37,174.365,92.167,217.259,-27.979,36.235,0.802567443,0.8
16,33,174.555,71.823,233.682,-33.69,32.45,0.746976661,0.74
17,33,167.325,95.667,221.789,-33.69,32.45,0.754433268,0.75
18,26,174.962,52.805,223.24,-33.69,25.239,0.783739473,0.78
19,20,193.116,120.06,224.861,-42.879,19.105,0.858823896,0.86
20,2,121,80.333,161.667,45,1.414,0.748452065,0.75
21,49,168.831,122.729,227.426,-105.781,47.802,0.742355755,0.74
22,44,170.744,125.826,219.223,-106.314,42.72,,
23,52,158.513,0.667,233.894,-104.859,50.695,,
24,53,156.931,128.191,199.763,-115.084,51.894,,
25,50,151.019,1.667,211.481,-116.565,49.193,,
26,42,166.559,3.333,219.397,-108.435,41.11,,
27,47,155.259,110.964,220.423,61.189,45.651,,
28,62,168.314,122.945,226.611,-112.329,60.539,,
29,41,164.083,115.007,211.507,-122.905,40.497,,
30,31,183.288,125.667,222.933,-109.654,29.732,,
31,29,182.637,131.667,234.667,-112.932,28.231,,
32,50,148.876,1.356,230.68,67.109,48.847,,
33,47,165.135,46.667,231.618,-103.736,46.325,,
34,45,172.928,83,225.285,-105.945,43.681,,
35,46,179.676,129.721,233.895,-114.864,45.188,,
36,43,172.684,128.668,217.043,-116.565,42.485,,
37,34,184.112,132.877,227.841,52.431,32.802,,
38,38,147.389,117.552,195.748,-110.376,37.336,,
39,8,180.292,133.524,225,-164.055,7.28,,
40,61,157.068,68.66,197.732,-121.293,59.682,,
41,45,153.127,119.174,198.325,-114.228,43.863,,
42,56,147.289,72.343,228.611,-100.491,54.918,,
43,57,109.213,46.495,244.667,-109.722,56.303,,
44,41,184.289,111.125,227.667,-116.565,40.249,,
45,16,160.613,100.261,254.121,61.699,14.765,,
46,44,154.396,70.761,224.574,-111.801,43.081,,
47,40,171.889,92.318,222.335,-121.218,38.588,,
48,54,148.084,48.278,222.977,-107.418,53.451,,
49,46,124.363,74.32,180.773,-126.87,45,,
50,38,130.349,36.216,226.624,-110.376,37.336,,
51,39,149.292,86.333,215.55,56.725,38.275,,
52,42,114.457,84.147,150.08,55.923,41.049,,
53,32,150.43,87.83,220.538,63.435,31.305,,
54,48,145.206,98.11,199.2,66.161,47.011,,
55,50,99.539,55.384,137.524,58.241,49.396,,
56,40,119.949,79.836,174.177,50.194,39.051,,
57,42,158.844,90.538,226.21,55.923,41.049,,
58,35,187.443,95.415,234,42.614,33.971,,
59,49,161.317,89.595,226.485,-121.373,48.021,,
60,25,146.819,85.807,227.802,-106.928,24.042,,
