 ,Area,Mean,Min,Max,Angle,Length,,
1,12,108.253,66.697,144.333,-15.255,11.402,0.750022517,0.75
2,14,120.905,76.667,161,0,13,0.750962733,0.75
3,19,135.499,75,189.111,-6.34,18.111,0.716505121,0.71
4,19,102.827,88.778,124,-6.34,18.111,0.82925,0.82
5,16,132.542,80.667,172.333,0,15,0.769104002,0.76
6,15,142.632,83.667,203.333,12.095,14.318,0.701470002,0.7
7,14,122.31,80.667,158.333,0,13,0.772485837,0.77
8,17,122,85.75,166,7.125,16.125,0.734939759,0.73
9,25,137.084,78.667,204.778,-4.764,24.083,0.66942738,0.66
10,28,149.667,83.469,204.938,-2.121,27.019,0.730303799,0.73
11,16,123.813,77.667,156.667,-11.31,15.297,0.790294063,0.79
12,17,131.435,90.5,213.062,3.576,16.031,0.616886165,0.71
13,21,136.619,85.667,209.333,0,20,0.652639574,0.62
14,21,100.952,83.667,132.667,0,20,0.760942812,0.76
15,19,113.865,87,167.333,-3.18,18.028,0.680469483,0.68
16,25,141.712,83.792,212.764,2.386,24.021,0.666052528,0.66
17,25,135.848,76.91,203.426,-12.265,23.537,0.667800576,0.55
18,23,116.027,76.576,145.333,-2.603,22.023,0.798352749,0.79
19,25,133.586,83.306,173.438,-14.621,23.77,0.770223365,0.77
20,36,131.639,75,210.333,0,35,0.625859946,0.62
21,36,131.639,75,210.333,0,35,0.625859946,0.63
22,42,154.683,120,184.667,-95.572,41.195,,
23,68,151.648,79.02,226.264,-95.117,67.268,,
24,13,179.024,156,186.889,-94.764,12.042,,
25,21,181.714,130.667,224.333,-90,20,,
26,22,180.706,150,206.476,-95.44,21.095,,
27,36,176.618,138.476,242,-113.629,34.928,,
28,41,172.77,102.923,242,-110.225,40.497,,
29,29,164.52,115.129,228.667,-70.907,27.514,,
30,27,161.604,133.41,187.667,-96.582,26.173,,
31,30,164.856,137,192.566,-112.166,29.155,,
32,23,146.783,88.749,189.667,-133.152,21.932,,
33,37,163.99,124.87,215.741,-82.093,36.346,,
34,25,160.395,135.667,208.601,-126.384,23.601,,
35,26,165.626,127.333,185.881,-116.565,24.597,,
36,39,176.169,122.579,215.439,-98.973,38.471,,
37,11,153.127,136.333,189.667,106.699,10.44,,
38,22,166.213,134.667,186.082,-115.346,21.024,,
39,32,143.995,73,193.289,-125.754,30.806,,
40,30,161.743,132.736,188.119,60.751,28.653,,
41,12,170.104,151.317,199.479,-45,11.314,,
42,17,173.245,141.667,195.229,-14.931,15.524,,
43,14,167.755,154.26,182.471,-32.471,13.038,,
44,14,174.714,158.32,193.493,-32.471,13.038,,
45,23,165.545,128,196.972,-76.608,21.587,,
46,29,184.459,154.595,214,-96.116,28.16,,
47,27,172.113,146.154,194.436,-85.601,26.077,,
48,25,133.887,117.333,180.333,-87.614,24.021,,
49,25,167.491,143,203.833,-99.462,24.331,,
50,27,176.793,146.667,203.949,-96.582,26.173,,
51,20,170.166,155.86,199,-98.973,19.235,,
52,25,164.693,120.287,210,-73.072,24.042,,
53,25,164.048,121.37,213.943,-73.072,24.042,,
54,12,175.918,163.441,194.967,-37.875,11.402,,
55,17,148.84,108.576,190,-116.565,15.652,,
56,13,171.013,141,199.333,-99.462,12.166,,
57,10,161.454,151,172.066,-153.435,8.944,,
58,7,180.286,169.667,201,-90,6,,
59,22,172.729,147.889,215.753,-121.43,21.095,,
