 ,Area,Mean,Min,Max,Angle,Length,,
1,46,98.115,81.333,168.333,-91.273,45.011,0.58286254,0.58
2,33,102.504,83.833,146.333,-3.576,32.062,0.700484511,0.7
3,31,96.667,79.333,128.333,-90,30,0.753251307,0.75
4,36,104.704,89.333,143.333,0,35,0.730494722,0.73
5,31,94.011,81.667,107,-90,30,0.878607477,0.87
6,28,100.773,77.864,145.667,4.236,27.074,0.691803909,0.69
7,24,94.903,83.667,111.333,-90,23,0.852424708,0.85
8,36,103.01,79.876,145.838,4.899,35.128,0.706331683,0.7
9,34,96.981,67.061,181.333,-88.264,33.015,0.534822674,0.53
10,36,104.406,67.171,146.333,1.637,35.014,0.713482263,0.71
11,35,97.451,83.706,110.431,-88.315,34.015,0.882460541,0.88
12,37,98.821,28.333,153.278,4.764,36.125,0.644717442,0.64
13,22,94.955,83.667,111.333,-90,21,0.852891775,0.85
14,31,99.895,87.311,133.333,-3.814,30.067,0.749214373,0.74
15,29,93.362,81.69,111.619,-92.045,28.018,0.836434657,0.63
16,29,101.816,81.333,151.333,0,28,0.672794433,0.67
17,33,94.119,77.104,113.188,-91.79,32.016,0.831528077,0.83
18,33,102.146,84.135,144,5.356,32.14,0.709347222,0.7
19,30,96.915,81.207,128.402,-80.218,29.428,0.754777963,0.75
20,26,97.141,76.16,110.08,-4.574,25.08,0.882458212,0.88
21,37,109.439,85.176,151.148,-88.409,36.014,0.724051923,
22,40,100.107,60,153.308,2.936,39.051,0.652979623,
23,36,97.459,69.133,112.667,-88.363,35.014,0.865018151,
24,31,95.401,51.667,110.422,3.814,30.067,0.863967325,
25,42,102.04,82,185.333,-90,41,0.55057653,
26,34,96.832,62.788,116.717,-1.736,33.015,0.829630645,
27,43,97.62,78.333,195,-90,42,0.500615385,
28,41,104.861,83.303,143.19,11.592,39.812,0.732320693,
29,35,94.401,83.951,112.275,-84.958,34.132,0.840801603,
30,27,100.698,70.744,123.974,4.399,26.077,0.812250956,
31,36,100.256,72.41,177.333,-91.637,35.014,0.565354446,
32,37,104.899,82.167,147.519,-3.18,36.056,0.711088063,
33,45,101.281,63.667,207.333,-90,44,0.488494354,
34,34,113.247,81.333,150.192,1.736,33.015,0.754014861,
35,32,96.281,83,109.667,0,31,0.877939581,
36,52,102.295,74.333,142,-90,51,0.720387324,
37,26,96.795,84.667,109.333,-90,25,0.885322821,
38,32,109.426,86.71,148.409,1.848,31.016,0.737327251,
39,26,95.382,83.213,111.627,-83.157,25.179,0.854470693,
40,51,107.144,77.253,144.987,4.574,50.16,0.738990392,
41,31,96.802,70.956,106.733,-88.091,30.017,0.906954738,
42,27,100.988,81.333,143,0,26,0.70620979,
43,41,104.301,80.333,207,-90,40,0.503869565,
44,36,105.601,87.714,152.81,-8.13,35.355,0.691060794,
45,38,92.816,52.667,117.667,-90,37,0.788802298,
46,38,98.492,80.495,117.748,3.094,37.054,0.836464314,
47,46,96.795,65.533,175.333,-93.814,45.1,0.552063787,
48,36,97.879,78.333,177.914,-88.363,35.014,0.550147824,
49,30,104.131,81.299,127.747,1.975,29.017,0.815134602,
50,41,98.195,51.667,119.667,-90,40,0.820568745,
51,34,100.128,81.061,140.667,6.911,33.242,0.71180874,
52,44,93.465,70.233,111.194,-88.668,43.012,0.840557944,
53,38,121.068,82.423,202.793,3.094,37.054,0.597002855,
54,38,98.74,68.667,113,-94.635,37.121,0.87380531,
55,32,97.592,66.688,123.409,3.691,31.064,0.790801319,
56,36,93.513,68.667,112.143,-85.101,35.128,0.833872823,
57,30,108.415,77.46,151.241,7.853,29.275,0.716836043,
58,38,101.306,84.009,178,-88.452,37.014,0.569134831,
59,37,101.398,71.333,137,3.18,36.056,0.740131387,
60,33,94.957,58.667,112.979,-88.21,32.016,0.84048363,
