 ,Area,Mean,Min,Max,Angle,Length
1,156,94.237,1,204.114,-85.941,155.39
2,166,97.173,0.333,179.014,-87.571,165.148
3,164,91.188,0.62,184.984,-92.459,163.15
4,154,102.13,32.288,196.607,-79.058,152.778
5,149,92.183,0.667,210,-90,148
6,169,96.546,6.778,179.278,-82.833,168.315
7,138,95.517,1.758,167.052,-97.125,137.058
8,165,103.646,8.439,209.738,-93.141,164.247
9,127,100.676,8,188.361,-102.381,125.929
10,206,97.5,0.603,214.278,-93.35,205.351
11,71,102.08,82.408,144.483,-22.557,70.385
12,88,93.227,0.152,145.742,-16.763,86.683
13,76,107.308,53.429,175.645,-35.803,75.213
14,85,106.217,51.014,170.449,-16.699,83.522
15,78,107.511,81.857,179.002,-21.251,77.253
16,86,104.271,0.701,165.434,-25.058,85
17,78,102.274,68.74,143.03,-1.488,77.026
18,76,105.038,82.44,147.551,-22.797,74.847
19,82,96.94,4.667,153.085,-27.824,81.413
20,87,97.26,0.667,191.503,-20.323,86.377
