 ,Area,Mean,Min,Max,Angle,Length
1,115,132.943,1.333,219.309,-62.312,114.061
2,109,150.399,84.222,212,-64.148,107.787
3,111,122.102,0.667,180.856,-64.134,110.023
4,90,155.87,107.886,214.451,-58.815,88.837
5,107,129.298,81.317,202.746,-62.949,105.546
6,108,145.068,78.879,221.393,-65.113,106.93
7,108,145.068,78.879,221.393,-65.113,106.93
8,108,138.853,97.106,216.999,-52.595,107.005
9,98,149.555,90.464,211.363,-61.579,96.649
10,93,141.69,89.363,212,-32.998,91.81
11,92,139.513,2.064,212.899,-20.63,90.824
12,68,143.129,84.021,216.388,24.656,67.119
13,101,137.349,94.91,216.705,83.66,99.609
14,111,130.695,1,215.667,-80.623,110.476
15,116,133.196,0.667,218.437,138.532,114.769
16,65,152.02,0.974,213.281,-138.145,64.444
17,107,131.985,0.667,217.025,-94.316,106.301
18,83,143.617,96.126,219.727,167.32,82
19,109,145.775,0.333,214.907,128.246,108.231
20,117,123.025,0.21,209.524,-59.459,116.108
