 ,Area,Mean,Min,Max,Angle,Length
1,10,93.726,2.667,153,-102.529,9.22
2,10,196.311,169.667,219,-12.529,9.22
3,10,198.481,189.815,206,6.34,9.055
4,22,174.19,1,220.463,-39.094,20.616
5,20,177.417,145.333,214.333,0,19
6,24,158.986,0,215.333,0,23
7,18,182.717,2.667,214.922,3.366,17.029
8,19,185.277,84.667,219.753,19.44,18.028
9,21,96.614,1.707,164.333,23.962,19.698
10,22,171.33,1.658,218.585,35.218,20.809
11,15,200.59,143.667,216.932,56.31,14.422
12,13,199.338,179.838,213.623,65.556,12.083
13,18,172.728,43.333,214.255,83.29,17.117
14,16,130.314,104.333,159.213,113.199,15.232
15,27,45.865,0.333,74.188,-20.556,25.632
16,26,60.253,0,113.387,-2.291,25.02
17,27,53.286,2.237,82.554,15.642,25.962
18,35,65.065,15.078,100.98,-120.379,33.615
19,28,58.954,5.333,92.771,28.443,27.295
20,23,102.899,59.667,157.667,0,22
